sdg_id,sdg_number,sdg_label
SDG_1,1,No Poverty
SDG_2,2,Zero Hunger
SDG_3,3,Good Health and Well-being
SDG_4,4,Quality Education
SDG_5,5,Gender Equality
SDG_6,6,Clean Water and Sanitation
SDG_7,7,Affordable and Clean Energy
SDG_8,8,Decent Work and Economic Growth
SDG_9,9,"Industry, Innovation and Infrastructure"
SDG_10,10,Reduced Inequality
SDG_11,11,Sustainable Cities and Communities
SDG_12,12,Responsible Consumption and Production
SDG_13,13,Climate Action
SDG_14,14,Life Below Water
SDG_15,15,Life on Land
SDG_16,16,"Peace, Justice and Strong Institutions"
SDG_17,17,Partnerships for the Goals
